File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Biosample.genetic.modifications.methods	Biosample.genetic.modifications.categories	Biosample.genetic.modifications.targets	Biosample.genetic.modifications.gene.targets	Biosample.genetic.modifications.site.coordinates	Biosample.genetic.modifications.zygosity	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Genome.annotation	Platform	Controlled.by	File.Status	s3_uri	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF812UZP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR452YHM	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	SIN3B-human	DNA	NA	NA			False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF066XXM, ENCFF223NIO, ENCFF739VAD	106548	ENCODE Processing Pipeline	a3fbb250e7e665f3d0ad0df37e9a2557		https://www.encodeproject.org/files/ENCFF812UZP/@@download/ENCFF812UZP.bed.gz	hg19	NA			released	s3://encode-public/2018/02/26/823173a2-8baa-464b-a70c-4508eb73e016/ENCFF812UZP.bed.gz	NA	NA	NA	NA
ENCFF949EAE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR894SXR	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	TCF12-human	DNA	NA	NA			False	2017-06-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF208MYK, ENCFF378WXQ, ENCFF661IHD	5699	ENCODE Processing Pipeline	ce4bb6cb1145b13af954783f501088d3		https://www.encodeproject.org/files/ENCFF949EAE/@@download/ENCFF949EAE.bed.gz	hg19	NA			released	s3://encode-public/2017/06/07/30cefbc5-9d42-4899-a282-6eb53de92988/ENCFF949EAE.bed.gz	NA	NA	NA	NA
ENCFF609WOU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR182QWU	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF3-human/	NA	NA	NA	ZNF3-human	DNA	NA	NA			False	2017-03-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF363YVH, ENCFF393KLI, ENCFF642EEJ	159675	ENCODE Processing Pipeline	03c98b7c4b415a53bd0155369a2c64a3		https://www.encodeproject.org/files/ENCFF609WOU/@@download/ENCFF609WOU.bed.gz	hg19	NA			released	s3://encode-public/2017/03/16/8c86d640-9a84-473b-93bc-c370735ae64d/ENCFF609WOU.bed.gz	NA	NA	NA	NA
ENCFF615JCW	bed narrowPeak	optimal IDR thresholded peaks	ENCSR798IJO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/NR2F6-human/	NA	NA	NA	NR2F6-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF121LCB, ENCFF306AEJ, ENCFF761MOS	647534	ENCODE Processing Pipeline	4f096bf5d8e46dc40d69ff3874e8e3e0		https://www.encodeproject.org/files/ENCFF615JCW/@@download/ENCFF615JCW.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/6e40b98f-1119-474c-8da9-95756dd62d80/ENCFF615JCW.bed.gz	NA	NA	NA	NA
ENCFF345GZF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BJN	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	TAF1-human	DNA	NA	NA			False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF243XCD, ENCFF602IZZ, ENCFF999FLX	299587	ENCODE Processing Pipeline	832d28b82a0ce751fca92ccb2b2b795e		https://www.encodeproject.org/files/ENCFF345GZF/@@download/ENCFF345GZF.bed.gz	hg19	NA			released	s3://encode-public/2017/12/08/91b1e673-09da-4b5d-a992-0d638d2f1479/ENCFF345GZF.bed.gz	NA	NA	NA	NA
ENCFF068FYV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR571PDN	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/SSRP1-human/	NA	NA	NA	SSRP1-human	DNA	NA	NA			False	2016-06-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF281XTE, ENCFF567KLN, ENCFF888ZSX	239198	ENCODE Processing Pipeline	ce2c7a88ed00459978440bfada14685f		https://www.encodeproject.org/files/ENCFF068FYV/@@download/ENCFF068FYV.bed.gz	hg19	NA			released	s3://encode-public/2016/06/13/7d14a4af-cdd0-4006-bd59-cb568f13f0ff/ENCFF068FYV.bed.gz	NA	NA	NA	NA
ENCFF765HCW	bed narrowPeak	optimal IDR thresholded peaks	ENCSR589SNT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/	NA	NA	NA	TFE3-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF198SRC, ENCFF437JCW, ENCFF917KJG	408898	ENCODE Processing Pipeline	02862d355078b69df3977d3544c28ab9		https://www.encodeproject.org/files/ENCFF765HCW/@@download/ENCFF765HCW.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/78a8d77d-1ea4-42f2-8651-9897702ab9ac/ENCFF765HCW.bed.gz	NA	NA	NA	NA
ENCFF569XCA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR476BQA	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	NONO-human	DNA	NA	NA			False	2017-02-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF234DZJ, ENCFF437VMK, ENCFF875EQQ	43938	ENCODE Processing Pipeline	fa06ed25bf1a2fc1f65dfe212ada330b		https://www.encodeproject.org/files/ENCFF569XCA/@@download/ENCFF569XCA.bed.gz	hg19	NA			released	s3://encode-public/2017/02/03/e029e62d-fe15-48f1-81cc-07656ed02d41/ENCFF569XCA.bed.gz	NA	NA	NA	NA
ENCFF443EYO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR362NWP	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	ZNF24-human	DNA	NA	NA			False	2017-06-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF395YWQ, ENCFF859ZGV, ENCFF960SGY	147195	ENCODE Processing Pipeline	7f5a9423cdb84a36e4eb1a9e4d82cc96		https://www.encodeproject.org/files/ENCFF443EYO/@@download/ENCFF443EYO.bed.gz	hg19	NA			released	s3://encode-public/2017/06/24/5be0f798-b36b-429a-b8fb-639dcf335cab/ENCFF443EYO.bed.gz	NA	NA	NA	NA
ENCFF341IOA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR659SCK	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	TOE1-human	DNA	NA	NA			False	2017-06-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF266RBJ, ENCFF797HUX, ENCFF940CQO	75265	ENCODE Processing Pipeline	6846e3f9b36820251e64deaca14802b0		https://www.encodeproject.org/files/ENCFF341IOA/@@download/ENCFF341IOA.bed.gz	hg19	NA			released	s3://encode-public/2017/06/24/17f3c113-529f-41fa-ba7a-8933abf41ca8/ENCFF341IOA.bed.gz	NA	NA	NA	NA
ENCFF937PFR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR396SOH	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF792-human/	NA	NA	NA	ZNF792-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF762QPC, ENCFF844WZL, ENCFF961TXA	350374	ENCODE Processing Pipeline	a21fe45e2010a9178beb519cd96f3c30		https://www.encodeproject.org/files/ENCFF937PFR/@@download/ENCFF937PFR.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/c8ca15a1-0dfb-43aa-acb9-b187dfd249fe/ENCFF937PFR.bed.gz	NA	NA	NA	NA
ENCFF801SSE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR260UJI	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/MBD1-human/	NA	NA	NA	MBD1-human	DNA	NA	NA			False	2016-09-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF020KDS, ENCFF404HWH, ENCFF656YTE	277247	ENCODE Processing Pipeline	92c927c79f7dc604fbc837c438ff2454		https://www.encodeproject.org/files/ENCFF801SSE/@@download/ENCFF801SSE.bed.gz	hg19	NA			released	s3://encode-public/2016/11/16/231423c4-c32e-4000-9731-1049a78e3abe/ENCFF801SSE.bed.gz	NA	NA	NA	NA
ENCFF244ORA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR681WHQ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	ETS1-human	DNA	NA	NA			False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF338MRR, ENCFF749DAY, ENCFF771MQQ	165448	ENCODE Processing Pipeline	0915fff499818a173ad96b6a1787bbb4		https://www.encodeproject.org/files/ENCFF244ORA/@@download/ENCFF244ORA.bed.gz	hg19	NA			released	s3://encode-public/2017/03/05/95988a22-d633-45fa-a204-4258f7f88750/ENCFF244ORA.bed.gz	NA	NA	NA	NA
ENCFF906IMT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR382XLA	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	ZFP36-human	DNA	NA	NA			False	2018-01-26	ENCODE	NA	NA	NA	2, 3	NA	NA	NA		NA		ENCFF001TDO, ENCFF722ERB, ENCFF806XIE, ENCFF844TSM	61616	ENCODE Processing Pipeline	9b285ff6f7a58bdc0f47d6bbb2e49475		https://www.encodeproject.org/files/ENCFF906IMT/@@download/ENCFF906IMT.bed.gz	hg19	NA			released	s3://encode-public/2017/03/05/85a8e234-724d-4121-be05-e56f8f8527c3/ENCFF906IMT.bed.gz	NA	NA	NA	NA
ENCFF648ZES	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EDX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	POLR2AphosphoS2-human	DNA	NA	NA			False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF237QGI, ENCFF273UTG, ENCFF316CBZ	129144	ENCODE Processing Pipeline	de0a71d3bfb6018d2bfed3d7aebcac85		https://www.encodeproject.org/files/ENCFF648ZES/@@download/ENCFF648ZES.bed.gz	hg19	NA			released	s3://encode-public/2016/12/13/eae52c77-6075-4806-9db2-784feeebc94c/ENCFF648ZES.bed.gz	NA	NA	NA	NA
ENCFF609YST	bed narrowPeak	optimal IDR thresholded peaks	ENCSR376FMN	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	EHMT2-human	DNA	NA	NA			False	2017-08-12	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF235LYZ, ENCFF326NFT, ENCFF641ZKN	213107	ENCODE Processing Pipeline	406c5218653fd7558c5581de373c2041		https://www.encodeproject.org/files/ENCFF609YST/@@download/ENCFF609YST.bed.gz	hg19	NA			released	s3://encode-public/2017/03/08/eb008843-9b13-4e9c-b7bb-8678cce3751f/ENCFF609YST.bed.gz	NA	NA	NA	NA
ENCFF476ZWO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR462KYU	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/GABPB1-human/	NA	NA	NA	GABPB1-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF225GGB, ENCFF348JPL, ENCFF784ABL	717874	ENCODE Processing Pipeline	7ea2d2c61aaabffc47f2a9ff5778ff85		https://www.encodeproject.org/files/ENCFF476ZWO/@@download/ENCFF476ZWO.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/9c327513-1792-4266-9eba-3c005df49a09/ENCFF476ZWO.bed.gz	NA	NA	NA	NA
ENCFF076NCP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR714YZG	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	ETV4-human	DNA	NA	NA			False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF199LZX, ENCFF291ZSM, ENCFF705ZZH	369919	ENCODE Processing Pipeline	8261a6ff14619464c051031f34bd7e49		https://www.encodeproject.org/files/ENCFF076NCP/@@download/ENCFF076NCP.bed.gz	hg19	NA			released	s3://encode-public/2016/06/13/c24fa0cc-5754-49f6-891a-5edb8abad9a2/ENCFF076NCP.bed.gz	NA	NA	NA	NA
ENCFF033BDT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR419KSZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	NCOR1-human	DNA	NA	NA			False	2017-03-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF418EHB, ENCFF835BHM, ENCFF865EDO	425988	ENCODE Processing Pipeline	adb45f94576c907fd380d8a5a4defd4a		https://www.encodeproject.org/files/ENCFF033BDT/@@download/ENCFF033BDT.bed.gz	hg19	NA			released	s3://encode-public/2017/03/08/b34aa947-f5d4-452f-a6d1-996f15f6a218/ENCFF033BDT.bed.gz	NA	NA	NA	NA
ENCFF928KZS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR801GJU	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	CBX2-human	DNA	NA	NA			False	2018-02-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF035VDP, ENCFF431PAS, ENCFF503JVU	51092	ENCODE Processing Pipeline	097d1fa94b67b08eca336ee237fd9e9e		https://www.encodeproject.org/files/ENCFF928KZS/@@download/ENCFF928KZS.bed.gz	hg19	NA			released	s3://encode-public/2017/03/08/11a78eee-fc93-4698-9b70-7aafe1e12d47/ENCFF928KZS.bed.gz	NA	NA	NA	NA
ENCFF424KTS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR101FJS	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	TBL1XR1-human	DNA	NA	NA			False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF342PPK, ENCFF824GTA, ENCFF924XCI	184822	ENCODE Processing Pipeline	15651a1c0a92804f9536eab9314b760b		https://www.encodeproject.org/files/ENCFF424KTS/@@download/ENCFF424KTS.bed.gz	hg19	NA			released	s3://encode-public/2017/03/05/4f7d3712-06c8-48fd-89f5-f0c29d10f733/ENCFF424KTS.bed.gz	NA	NA	NA	NA
ENCFF659XDO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR455DOO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/RCOR2-human/	NA	NA	NA	RCOR2-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF110NII, ENCFF474DRG, ENCFF880UOV	398550	ENCODE Processing Pipeline	90e39871265a01243cd7ce1d69fa663a		https://www.encodeproject.org/files/ENCFF659XDO/@@download/ENCFF659XDO.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/42b792f8-49c0-4818-a80e-198a31b539d4/ENCFF659XDO.bed.gz	NA	NA	NA	NA
ENCFF215BXZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR639IIZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/CEBPG-human/	NA	NA	NA	CEBPG-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF335GTC, ENCFF570RTO, ENCFF841VED	689973	ENCODE Processing Pipeline	a4e4c8396732b1bc8754f28772e90872		https://www.encodeproject.org/files/ENCFF215BXZ/@@download/ENCFF215BXZ.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/c9f9300a-1182-4b19-a839-340826670e0b/ENCFF215BXZ.bed.gz	NA	NA	NA	NA
ENCFF002CVA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EVR	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	ZNF274-human	DNA	NA	NA			False	2011-10-29	ENCODE	NA	NA	NA		NA	NA	NA		NA			6190	ENCODE Consortium Analysis Working Group	6d6e5c16bf06e488b8933b0b01da6aee		https://www.encodeproject.org/files/ENCFF002CVA/@@download/ENCFF002CVA.bed.gz	hg19	NA			released	s3://encode-public/2014/06/06/fea8497f-d94e-4b6d-a30e-2ad63f621c4c/ENCFF002CVA.narrowPeak.gz	NA	NA	NA	NA
ENCFF028BDC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BID	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	BHLHE40-human	DNA	NA	NA			False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF215GXO, ENCFF333ZRM, ENCFF626BVG	61955	ENCODE Processing Pipeline	a5acbe34ad3e7ba0f7923a00120943fc		https://www.encodeproject.org/files/ENCFF028BDC/@@download/ENCFF028BDC.bed.gz	hg19	NA			released	s3://encode-public/2017/12/08/42f1fbca-aeea-43a0-bc21-12af9af5275a/ENCFF028BDC.bed.gz	NA	NA	NA	NA
ENCFF584CNF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EEL	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	TBP-human	DNA	NA	NA			False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF469IRK, ENCFF791JVM, ENCFF967KDT	324761	ENCODE Processing Pipeline	f69505c8d4f6d551de135c08ff65c0d3		https://www.encodeproject.org/files/ENCFF584CNF/@@download/ENCFF584CNF.bed.gz	hg19	NA			released	s3://encode-public/2016/12/13/412d3cd5-aac3-43da-8858-20d6d9581cb6/ENCFF584CNF.bed.gz	NA	NA	NA	NA
ENCFF743GXH	bed narrowPeak	optimal IDR thresholded peaks	ENCSR968QDP	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	SMARCE1-human	DNA	NA	NA			False	2017-06-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF309BHZ, ENCFF819JTY, ENCFF854SVR	23579	ENCODE Processing Pipeline	7e76e0b508be4d32937a460c8f4a0e13		https://www.encodeproject.org/files/ENCFF743GXH/@@download/ENCFF743GXH.bed.gz	hg19	NA			released	s3://encode-public/2017/06/07/a29599f2-5097-4b4c-9e57-29e9a7866592/ENCFF743GXH.bed.gz	NA	NA	NA	NA
