File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Platform	Controlled.by	File.Status	Restricted	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF241TBP	bed narrowPeak	optimal idr thresholded peaks	ENCSR788RSW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SOX6-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF221LMV, ENCFF669NWG, ENCFF954EOW	662988	ENCODE Processing Pipeline	ddfe5ef7a5a81e0d8353f3f421ca1c7b		https://www.encodeproject.org/files/ENCFF241TBP/@@download/ENCFF241TBP.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF043YZF	bed narrowPeak	optimal idr thresholded peaks	ENCSR832OGB	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				LEF1-human	DNA					False	2017-05-17	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF404ZDG, ENCFF700RYG, ENCFF804WBF	98778	ENCODE Processing Pipeline	35c35430c78f681d42182db300ec48a9		https://www.encodeproject.org/files/ENCFF043YZF/@@download/ENCFF043YZF.bed.gz	hg19			released	NA	borderline replicate concordance, mild to moderate bottlenecking			
ENCFF310AGG	bed narrowPeak	optimal idr thresholded peaks	ENCSR171CAY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				E2F7-human	DNA					False	2017-05-17	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF384FEX, ENCFF511NCS, ENCFF649PUW	59622	ENCODE Processing Pipeline	8660b9cd4ca65717017ecba1ad02391d		https://www.encodeproject.org/files/ENCFF310AGG/@@download/ENCFF310AGG.bed.gz	hg19			released	NA	low read depth, moderate library complexity, mild to moderate bottlenecking			
ENCFF184RRU	bed narrowPeak	optimal idr thresholded peaks	ENCSR670FDA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NFATC3-human	DNA					False	2017-09-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF324WHA, ENCFF620EBO, ENCFF951XWI	133041	ENCODE Processing Pipeline	3ae96e984e743858b619938ccc58a435		https://www.encodeproject.org/files/ENCFF184RRU/@@download/ENCFF184RRU.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF777CWV	bed narrowPeak	optimal idr thresholded peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF037LWJ, ENCFF409JZE, ENCFF439JKZ	198809	ENCODE Processing Pipeline	8eacb6c36160d8886684bfef22a5db39		https://www.encodeproject.org/files/ENCFF777CWV/@@download/ENCFF777CWV.bed.gz	hg19			released	NA	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF558JBX	bed narrowPeak	optimal idr thresholded peaks	ENCSR024CNP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EGR1-human	DNA					False	2017-05-17	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF255VCC, ENCFF637AOG, ENCFF782FAJ	605717	ENCODE Processing Pipeline	8149a5a796a465fc5a678edf965522ce		https://www.encodeproject.org/files/ENCFF558JBX/@@download/ENCFF558JBX.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF939ZFS	bed narrowPeak	optimal idr thresholded peaks	ENCSR835TCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-HDAC8-human	DNA					False	2016-02-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF220RNG, ENCFF690UHD, ENCFF867FAH	151716	ENCODE Processing Pipeline	a6a46e86e184939dd243d3fdf746998a		https://www.encodeproject.org/files/ENCFF939ZFS/@@download/ENCFF939ZFS.bed.gz	hg19			released	NA	missing genetic modification characterization, moderate library complexity, mild to moderate bottlenecking			
ENCFF835YLR	bed narrowPeak	optimal idr thresholded peaks	ENCSR005NMT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ID3-human	DNA					False	2016-02-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF244XAR, ENCFF464FVG, ENCFF767ZAZ	376136	ENCODE Processing Pipeline	f318a5df6df3b0f5af86990b56d56fe1		https://www.encodeproject.org/files/ENCFF835YLR/@@download/ENCFF835YLR.bed.gz	hg19			released	NA	missing genetic modification characterization, moderate library complexity, mild to moderate bottlenecking			
ENCFF868QLL	bed narrowPeak	optimal idr thresholded peaks	ENCSR972ZBV	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF7-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF606UFV, ENCFF611BUY, ENCFF821WIF	855049	ENCODE Processing Pipeline	96c0eed56cbef77b05a368374d122077		https://www.encodeproject.org/files/ENCFF868QLL/@@download/ENCFF868QLL.bed.gz	hg19			released	NA	moderate library complexity, mild to moderate bottlenecking			
ENCFF209HKW	bed narrowPeak	optimal idr thresholded peaks	ENCSR718SDE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RLF-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	2, 3	NA	NA	NA		NA		ENCFF001TDO, ENCFF085CGF, ENCFF563QBT, ENCFF772ITA	200581	ENCODE Processing Pipeline	0715e48bb3bd6c77a51ee4cda8cb0a97		https://www.encodeproject.org/files/ENCFF209HKW/@@download/ENCFF209HKW.bed.gz	hg19			released	NA	low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF941RVL	bed narrowPeak	optimal idr thresholded peaks	ENCSR052PTN	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				PCBP1-human	DNA			SDS	formaldehyde	False	2018-01-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF086XWF, ENCFF656LKP, ENCFF921JTC	198461	ENCODE Processing Pipeline	8fd9450404706c39c0454c49bc4f916f		https://www.encodeproject.org/files/ENCFF941RVL/@@download/ENCFF941RVL.bed.gz	hg19			released	NA	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF254YOX	bed narrowPeak	optimal idr thresholded peaks	ENCSR750LYM	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-NR2C2-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF374WLL, ENCFF610XAF, ENCFF994BAN	707639	ENCODE Processing Pipeline	f34791c66a2d02e2f42717a679cb9573		https://www.encodeproject.org/files/ENCFF254YOX/@@download/ENCFF254YOX.bed.gz	hg19			released	NA	missing genetic modification characterization			
ENCFF692PVV	bed narrowPeak	optimal idr thresholded peaks	ENCSR239ZLZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-FOSL1-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF877UDE, ENCFF907RDS, ENCFF912QBK	923866	ENCODE Processing Pipeline	04a0cb049ff73ba89ee706b1951ff137		https://www.encodeproject.org/files/ENCFF692PVV/@@download/ENCFF692PVV.bed.gz	hg19			released	NA	missing genetic modification characterization			
ENCFF602AXP	bed narrowPeak	optimal idr thresholded peaks	ENCSR603XLW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZNF589-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF470XSK, ENCFF524YHM, ENCFF783GCE	328275	ENCODE Processing Pipeline	ad7eca2f92009aa774a2f0e1cc3ca6df		https://www.encodeproject.org/files/ENCFF602AXP/@@download/ENCFF602AXP.bed.gz	hg19			released	NA	control low read depth, low read depth, missing genetic modification characterization			
ENCFF116DIO	bed narrowPeak	optimal idr thresholded peaks	ENCSR018MSO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZNF148-human	DNA					False	2017-12-01	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF297GYL, ENCFF890QZH, ENCFF985CUX	412739	ENCODE Processing Pipeline	1373edacc8e8c659850e64d69646692f		https://www.encodeproject.org/files/ENCFF116DIO/@@download/ENCFF116DIO.bed.gz	hg19			released	NA	missing genetic modification characterization	experiment not submitted to GEO		
ENCFF526EEI	bed narrowPeak	optimal idr thresholded peaks	ENCSR975SSR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ELF1-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF074NKQ, ENCFF241QBV, ENCFF769RKU	313782	ENCODE Processing Pipeline	1f4cf632566898df354da40c0e111751		https://www.encodeproject.org/files/ENCFF526EEI/@@download/ENCFF526EEI.bed.gz	hg19			released	NA	missing genetic modification characterization			
ENCFF778RMG	bed narrowPeak	optimal idr thresholded peaks	ENCSR532KTI	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-GTF2E2-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF138CUL, ENCFF373TEW, ENCFF796SSH	253646	ENCODE Processing Pipeline	b10e9ebc53d80fd09275ddc64ec080fb		https://www.encodeproject.org/files/ENCFF778RMG/@@download/ENCFF778RMG.bed.gz	hg19			released	NA	control low read depth, missing genetic modification characterization			
ENCFF144PPR	bed narrowPeak	optimal idr thresholded peaks	ENCSR837EYC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NRF1-human	DNA					False	2016-06-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF559ITE, ENCFF606MZK, ENCFF892HJT	370811	ENCODE Processing Pipeline	ed341ef382b1729a4467c26b9d7afc00		https://www.encodeproject.org/files/ENCFF144PPR/@@download/ENCFF144PPR.bed.gz	hg19			released	NA	low read depth, moderate library complexity			
ENCFF002CXH	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FAF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NFE2-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA		NA	NA	NA		NA			53709	ENCODE Consortium Analysis Working Group	3fa5b2aaff7064f6bb43628c6a33c4a5		https://www.encodeproject.org/files/ENCFF002CXH/@@download/ENCFF002CXH.bed.gz	hg19			released	NA		biological replicates with identical biosample, missing derived_from	insufficient read length	
ENCFF591BIT	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EVY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF007QAA, ENCFF401VYC, ENCFF811QWR	109809	ENCODE Processing Pipeline	3cbd8317834ea4a0b339e357c3badbe1		https://www.encodeproject.org/files/ENCFF591BIT/@@download/ENCFF591BIT.bed.gz	hg19			released	NA	low read depth, low read length, mixed read lengths, mild to moderate bottlenecking	inconsistent mapped reads lengths	insufficient read length, insufficient read depth	
ENCFF294HEI	bed narrowPeak	optimal idr thresholded peaks	ENCSR120MPG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				PRDM10-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF394QGN, ENCFF443DXB, ENCFF752PUJ	521743	ENCODE Processing Pipeline	0cf5614471526e753fbc503179bba328		https://www.encodeproject.org/files/ENCFF294HEI/@@download/ENCFF294HEI.bed.gz	hg19			released	NA		experiment not submitted to GEO	partially characterized antibody	
ENCFF730URE	bed narrowPeak	optimal idr thresholded peaks	ENCSR690GUG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				U2AF1-human	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF473NOQ, ENCFF658SVX, ENCFF948OFI	82082	ENCODE Processing Pipeline	6da5084fceeea43dc8aba95ea3187c52		https://www.encodeproject.org/files/ENCFF730URE/@@download/ENCFF730URE.bed.gz	hg19			released	NA	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF542DOG	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BKR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR2AphosphoS5-human	DNA		see document	see document		False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF065RJC, ENCFF306TSB, ENCFF519QQX	498177	ENCODE Processing Pipeline	0598e742722b3d8250df0367c201924d		https://www.encodeproject.org/files/ENCFF542DOG/@@download/ENCFF542DOG.bed.gz	hg19			released	NA	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking	biological replicates with identical biosample	insufficient read depth, control insufficient read depth	
ENCFF853TZC	bed narrowPeak	optimal idr thresholded peaks	ENCSR580IAO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZNF197-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF061VCB, ENCFF820OCS, ENCFF866TCF	161658	ENCODE Processing Pipeline	76dff59260974ea4959eabcd3f275a6a		https://www.encodeproject.org/files/ENCFF853TZC/@@download/ENCFF853TZC.bed.gz	hg19			released	NA	missing genetic modification characterization, low read depth			
ENCFF685KAG	bed narrowPeak	optimal idr thresholded peaks	ENCSR290MUH	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-GABPA-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF026SKI, ENCFF835LBQ, ENCFF845TET	590608	ENCODE Processing Pipeline	2642e3d21c71e17716b79b0496bbf05b		https://www.encodeproject.org/files/ENCFF685KAG/@@download/ENCFF685KAG.bed.gz	hg19			released	NA	missing genetic modification characterization, low read depth			
ENCFF634AYU	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FAZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		30.0 minute	MYC-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF517GFP, ENCFF726YHM, ENCFF761YWV	156795	ENCODE Processing Pipeline	730d1f4239612dda93845a2c03f5db0d		https://www.encodeproject.org/files/ENCFF634AYU/@@download/ENCFF634AYU.bed.gz	hg19			released	NA	control low read depth, borderline replicate concordance	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF995IAC	bed narrowPeak	optimal idr thresholded peaks	ENCSR158RYZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZBTB40-human	DNA					False	2017-12-01	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF016RIL, ENCFF696LOS, ENCFF997KYE	350377	ENCODE Processing Pipeline	5fc18b2a8f2ddbf62a95eb4350681ef0		https://www.encodeproject.org/files/ENCFF995IAC/@@download/ENCFF995IAC.bed.gz	hg19			released	NA	control low read depth, borderline replicate concordance, missing genetic modification characterization	experiment not submitted to GEO		
ENCFF849ZUF	bed narrowPeak	optimal idr thresholded peaks	ENCSR563YDA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HDGF-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF328KFN, ENCFF415ZVO, ENCFF701JMF	214540	ENCODE Processing Pipeline	5889d9be33d5b555b97ac8b885edd835		https://www.encodeproject.org/files/ENCFF849ZUF/@@download/ENCFF849ZUF.bed.gz	hg19			released	NA				
ENCFF019ALY	bed narrowPeak	optimal idr thresholded peaks	ENCSR387UWP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC1-human	DNA					False	2016-06-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF113GBF, ENCFF221YZK, ENCFF873ZUQ	807730	ENCODE Processing Pipeline	6e5b27278b7140bede72c439e1f952d4		https://www.encodeproject.org/files/ENCFF019ALY/@@download/ENCFF019ALY.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF573DRR	bed narrowPeak	optimal idr thresholded peaks	ENCSR414TYY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RUNX1-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF083XOF, ENCFF246CBF, ENCFF401PPU	100617	ENCODE Processing Pipeline	5fd41070314178340b7f951075c763b4		https://www.encodeproject.org/files/ENCFF573DRR/@@download/ENCFF573DRR.bed.gz	hg19			released	NA	low read depth, moderate library complexity, mild to moderate bottlenecking			
ENCFF289BUU	bed narrowPeak	optimal idr thresholded peaks	ENCSR574XEO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NUFIP1-human	DNA					False	2018-01-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF349MUN, ENCFF466JSP, ENCFF629MDH	69389	ENCODE Processing Pipeline	3cac01fc9589a4464ae550b9ca599261		https://www.encodeproject.org/files/ENCFF289BUU/@@download/ENCFF289BUU.bed.gz	hg19			released	NA		experiment not submitted to GEO	partially characterized antibody	
ENCFF723RSX	bed narrowPeak	optimal idr thresholded peaks	ENCSR051OUX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NFATC3-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF596YYO, ENCFF607MDM, ENCFF631AZA	249584	ENCODE Processing Pipeline	d4f82f8346e6cfaeeea5dffc52df893e		https://www.encodeproject.org/files/ENCFF723RSX/@@download/ENCFF723RSX.bed.gz	hg19			released	NA	mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF962VSZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR686EYO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KHSRP-human	DNA					False	2017-09-28	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF010MIW, ENCFF046POV, ENCFF082TJJ	99079	ENCODE Processing Pipeline	c9c3e65d8269dd5a6340dcf8a55986d2		https://www.encodeproject.org/files/ENCFF962VSZ/@@download/ENCFF962VSZ.bed.gz	hg19			released	NA				
ENCFF938IOJ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	DNA		see document	see document		False	2012-05-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF377VMB, ENCFF696JUU, ENCFF976ZTX	180556	ENCODE Processing Pipeline	c9635f75ccfec61b8087434efc5ee93c		https://www.encodeproject.org/files/ENCFF938IOJ/@@download/ENCFF938IOJ.bed.gz	hg19			released	NA	borderline replicate concordance, inconsistent target of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF561IZB	bed narrowPeak	optimal idr thresholded peaks	ENCSR154EIH	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIP13-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF372LVB, ENCFF733BCO, ENCFF971BFZ	49333	ENCODE Processing Pipeline	f2c0a575184e1392df356ca4a32d0f8f		https://www.encodeproject.org/files/ENCFF561IZB/@@download/ENCFF561IZB.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF396DNK	bed narrowPeak	optimal idr thresholded peaks	ENCSR898XMH	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZFP91-human	DNA					False	2018-01-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF456OOM, ENCFF581AQD, ENCFF858GTB	266711	ENCODE Processing Pipeline	d6cc530832de9f014b957dd7347ce74c		https://www.encodeproject.org/files/ENCFF396DNK/@@download/ENCFF396DNK.bed.gz	hg19			released	NA		experiment not submitted to GEO	partially characterized antibody	
